"Freq [GHz]","Pass []","Ltx_uH []","Lrx_uH []","M_uH []","k_ratio []","Qtx_ratio []","Qrx_ratio []","FOM_ratio []","re_Z11_ohm []","im_Z11_ohm []","re_Z22_ohm []","im_Z22_ohm []","re_Z12_ohm []","im_Z12_ohm []","M_over_Ltx_ratio []","M_over_Lrx_ratio []","eta_fom_max_ratio []","SolvedElements []","MaxMagDeltaS []"
0.00678,1,-2.83813185871487,-4.99408061064468,0.111915238083693,0.0297265948784976,-28.2776578052627,-20.8264728774745,0.721397685102472,4.27561602688021,-120.904406914816,10.2152590695454,-212.747815948264,-0.398866571751458,4.76758873753184,-0.0394327126627477,-0.0224095778200197,0.10436436340108,57230,nan
0.00678,2,18.831231941887,5.84636746820353,0.700061919813464,0.0667196921610147,16.9051032047489,120.675223414277,3.01350559982284,47.4537423930306,802.210412605749,2.06384729152123,249.055232997274,1.9839389815549,29.8226352517039,0.0371755773586056,0.119743058167464,0.52096876244577,74402,0.863794632000027
0.00678,3,6.56471620896277,4.91817959638856,0.195005379927039,0.0343191421072133,171.290541770685,433.765704590067,9.35471843740065,1.63264640221355,279.656886755119,0.483012904889552,209.514433015511,0.0612044765117239,8.30722847949452,0.0297050738706418,0.039649910318491,0.807840410522495,89278,0.228087162863843
0.00678,4,6.03623797658911,4.90667883509193,0.175757686625812,0.032295152139315,283.420755312066,563.612560097525,12.9075403613758,0.90728611489495,257.143715967677,0.370865582892099,209.024500625877,0.0340947357426021,7.48727681448737,0.0291170903644735,0.0358200918651565,0.856591959818657,96874,0.0301966451077861
0.00678,5,5.87661430516892,4.947630921873,0.168542072876697,0.0312569133927945,375.373915590585,644.569609088038,15.3749264614558,0.66691833860836,250.343748142587,0.32699192826174,210.769059374614,0.0247083045987234,7.17989169487627,0.0286801318113478,0.0340652072755848,0.878103876210474,108913,0.0101473344518484
0.00678,6,5.76818032378429,5.00919699107363,0.163580066997206,0.0304317489022049,473.71646319978,728.765613903725,17.8805176319298,0.518716320872753,245.724460927843,0.29281262676047,213.391773699856,0.0186764926572233,6.96851026235913,0.0283590418147481,0.0326559461104654,0.894227235586137,131943,0.00720010478422228
0.00678,7,5.73180196986511,4.99905466044386,0.159355657577057,0.0297699397270139,567.584251474659,844.568311977395,20.6115434947437,0.430199996825281,244.174743182478,0.252152143801265,212.959710451716,0.0145035570227093,6.78855043634183,0.0278020173088441,0.0318771584631778,0.907560563666054,157823,0.00246875629894433
0.00678,8,5.70277868173185,5.01212525772872,0.157285962316746,0.0294195311446922,641.258851277882,877.489360228425,22.0685278485355,0.378846000688906,242.938351212988,0.243326617422676,213.516517848771,0.01266564696474,6.70038142573933,0.0275805832726057,0.0313810916984187,0.913386816420923,171653,0.00199419376510771
0.00678,9,5.69410093049899,5.01638338228622,0.155767674284182,0.0291453580458475,680.631295150822,923.877319467709,23.1117326295121,0.356387784061717,242.568679041858,0.231305509331735,213.697913939517,0.0115820385749216,6.63570236104424,0.0273559735216234,0.0310517881935073,0.917127151538508,184914,0.000597035150978505
0.00678,10,5.70083112310207,5.02793512175663,0.153527231373142,0.0286761931942054,768.597049052973,974.980246020984,24.8238285040281,0.315972310226325,242.855385222404,0.21968652069958,214.19001799917,0.00993415289379622,6.54025950113835,0.0269306752047061,0.0305348473389815,0.922612485709412,240389,0.001031477578739
0.00678,11,5.69768499090966,5.03715322344826,0.151206873942944,0.0282247261375607,866.672194319279,1014.0597870497,26.4599457088621,0.280061321446953,242.721360002388,0.211607551978957,214.582709097888,0.00861908524396188,6.4414122830054,0.0265383000611979,0.0300183193235153,0.927216711804851,312514,0.000821608365793105
0.00678,12,5.70054560172825,5.04511564068171,0.149410885938085,0.027860471769877,964.220047166769,1071.64633000507,28.3205892377126,0.251854566523974,242.843222012912,0.200553020176175,214.921908043231,0.00751778137515601,6.36490320049507,0.026209927325691,0.0296149576301676,0.931829581937027,406270,0.000706880937389657
0.00678,13,5.70413174589136,5.04743964040636,0.147811903318853,0.0275473018837753,1039.19855449786,1122.73776258479,29.7555169935733,0.233830186435068,242.995991741288,0.191514811017017,215.020910423095,0.00670851096570228,6.29678654669983,0.0259131292725349,0.0292845311384354,0.93500651659686,528156,0.000256771333026652
0.00678,14,5.7035424695218,5.04928717496847,0.146657203702927,0.0273285144430553,1113.98662914567,1158.70340092889,31.0486094356509,0.218109340106187,242.970888570077,0.185638201472715,215.099615388757,0.0061096146653292,6.24759634723828,0.0257133534968177,0.0290451302571916,0.937626129794076,625488,0.000167076285537621
0.00678,15,5.70369434650858,5.05249211668787,0.146056902998362,0.0272076569554887,1160.16179963377,1183.63092833072,31.8829557434175,0.209434027741532,242.977358529164,0.181843969046973,215.236145894411,0.00574152734558187,6.2220235393953,0.0256074211072982,0.0289078932980321,0.939207202801288,702127,0.000282761503989678
0.00678,16,5.71104169221729,5.05526632820631,0.145396286031235,0.0270597405048099,1193.0423479785,1207.02245730796,32.4720145221305,0.203924324934493,243.290355429778,0.178417829752206,215.354327295061,0.00543468837506302,6.19388125898538,0.0254588031163165,0.0287613503605109,0.94027605972496,865905,0.000511205083527615
0.00678,17,5.71476928420465,5.05658617110403,0.144997373237229,0.0269731754583421,1216.90212481849,1215.6566846887,32.8069134909251,0.200056476087809,243.449150834955,0.177196864304571,215.410552597729,0.00526294033366039,6.17688757540371,0.0253723931844449,0.0286749534826124,0.940867154749025,953673,0.000259141496414509
0.00678,18,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.00678,19,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.00678,20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
