"Freq [MHz]","Ltx_uH []","Lrx_uH []","M_uH []","k_ratio []","Qtx_ratio []","Qrx_ratio []","FOM_ratio []","re_Z11_ohm []","im_Z11_ohm []","re_Z22_ohm []","im_Z22_ohm []","re_Z12_ohm []","im_Z12_ohm []","M_over_Ltx_ratio []","M_over_Lrx_ratio []","eta_fom_max_ratio []","Volume(tx_mull_ferrite_sheet) [m3]","Volume(tx_ssw_coil_ssw_copper) [m3]","Volume(rx_ssw_coil_ssw_copper) [m3]","Volume(Region_Abs_2000mm) [m3]"
0.1,5.11908383800667,4.43827304210283,0.115657107388989,0.0242643798971337,38.8642956307406,38.6372834373441,0.940259844920253,0.0827601577107782,3.2164152357184,0.0721750844947827,2.78864919673918,6.97918431670394E-05,0.0726695037817389,0.0225933215881897,0.0260590338385742,0.157050389030759,4.98389995200037E-06,2.13416169604046E-06,2.35848439957533E-06,77.3624647042687
1.34875,5.13656611755654,4.45561999586037,0.116547121440941,0.0243618933701698,539.770583265819,530.682805672167,13.0386657583907,0.0806445450687291,43.5295531289545,0.0711515644816344,37.7589118670779,6.39447615733736E-05,0.987672308441634,0.0226896955619024,0.0261573297429365,0.857923839794341,4.98389995200037E-06,2.13416169604046E-06,2.35848439957533E-06,77.3624647042687
2.5975,5.19517138358179,4.51524384790259,0.119257610643269,0.0246232604929423,1052.89285879503,1071.07289186492,26.1485230448156,0.080528780725451,84.7881781532985,0.0688014524167594,73.6913706045253,-5.09916938565974E-05,1.94635263993674,0.0229554718868673,0.0264122192865987,0.926382999153504,4.98389995200037E-06,2.13416169604046E-06,2.35848439957533E-06,77.3624647042687
3.84625,5.29381015507736,4.61616524987429,0.123916508864298,0.0250671127464636,1297.48772389988,1306.62590668595,32.6386040331975,0.098601264115228,127.933929750518,0.08537829155304,111.557487611788,0.000584327959034063,2.99465327912631,0.0234078112426166,0.0268440365880906,0.940571558484173,4.98389995200037E-06,2.13416169604046E-06,2.35848439957533E-06,77.3624647042687
5.095,5.4370649782381,4.76438178795167,0.130869267187075,0.025712963360727,1332.22541748282,1321.08153430969,34.1118913475646,0.130650436395906,174.055832171849,0.115451874978711,152.521340135806,0.00197734965254135,4.18949549014732,0.0240698368901017,0.0274682577953812,0.943063004007636,4.98389995200037E-06,2.13416169604046E-06,2.35848439957533E-06,77.3624647042687
6.34375,5.63236710285109,4.96922239529947,0.140714211233669,0.0265979562347389,1258.34767676401,1251.33568600692,33.3760938504826,0.17840878251464,224.500276991592,0.158285281048938,198.06802074617,0.00420961172001872,5.60872166564233,0.0249831391782754,0.0283171490506792,0.941845370731239,4.98389995200037E-06,2.13416169604046E-06,2.35848439957533E-06,77.3624647042687
7.5925,5.89079761898638,5.24508142060571,0.154409101399198,0.0277785598936489,1123.36028070653,1133.13672921923,31.3408245129914,0.250161059356662,281.020997860742,0.220818058083821,250.217052089642,0.00780382609697934,7.36609922128839,0.0262119175341431,0.0294388378400742,0.938189141024638,4.98389995200037E-06,2.13416169604046E-06,2.35848439957533E-06,77.3624647042687
8.84125,6.22883502845471,5.61430368267671,0.173507000949086,0.0293403735375639,946.183933995002,958.56852221271,27.9424836245679,0.365699863791357,346.019335783543,0.325361585976119,311.881374653912,0.0142461864110292,9.63852421005468,0.0278554497199665,0.0309044559674342,0.930940113134012,4.98389995200037E-06,2.13416169604046E-06,2.35848439957533E-06,77.3624647042687
10.09,6.67127742752769,6.11256027100469,0.200617673107957,0.0314161607908829,748.60761229217,736.517102502398,23.3276853333723,0.564970532881369,422.941241635756,0.526152154407798,387.520060239826,0.0271367686626708,12.7186267817677,0.0300718528478742,0.032820563595847,0.917861471685248,4.98389995200037E-06,2.13416169604046E-06,2.35848439957533E-06,77.3624647042687
11.33875,7.2559165139349,6.8000490179562,0.24036504834803,0.0342191452034757,614.811871891189,566.618479244332,20.1969432988278,0.840804602618451,516.936651630577,0.855000477900725,484.459070541286,0.0489616328208015,17.1244394865108,0.0331267659828241,0.0353475464240511,0.905756773804323,4.98389995200037E-06,2.13416169604046E-06,2.35848439957533E-06,77.3624647042687
12.5875,8.04868858887125,7.78457804382294,0.301793969717275,0.038126808840033,500.384401051741,423.275998042752,17.5466478213586,1.27215700543939,636.567521210568,1.45455714002236,615.679125153174,0.0922530938558885,23.8687628547156,0.0374960425397199,0.0387681860234863,0.892329095084374,4.98389995200037E-06,2.13416169604046E-06,2.35848439957533E-06,77.3624647042687
13.83625,9.16209001522327,9.28034548376883,0.404263914382843,0.0438415224956907,388.957019443,304.231956523405,15.0813024469117,2.047817309264,796.512916975108,2.65190268246866,806.793541597108,0.189605884317978,35.1449755610163,0.0441235475433158,0.0435613000711982,0.875887556942325,4.98389995200037E-06,2.13416169604046E-06,2.35848439957533E-06,77.3624647042687
15.085,10.8114623437313,11.7800208800964,0.596513063097951,0.0528572675583002,277.572166505648,206.064605581041,12.6413765329294,3.69176210613515,1024.73040602339,5.41835980581235,1116.53217628089,0.453227466752399,56.5386118836218,0.0551741331683794,0.050637691492196,0.853810440057702,4.98389995200037E-06,2.13416169604046E-06,2.35848439957533E-06,77.3624647042687
16.33375,13.4680482421816,16.7228557581494,1.03620443626815,0.0690458998057303,178.561502880995,125.275889743981,10.3267950506676,7.74074218994916,1382.19855885164,13.699626293122,1716.2328730309,1.39759192695095,106.343566100378,0.0769379807404302,0.0619633662607648,0.824177366896007,4.98389995200037E-06,2.13416169604046E-06,2.35848439957533E-06,77.3624647042687
17.5825,18.4264101266027,30.8667360299756,2.55309888594205,0.10705375755982,101.901962777036,58.73758979004,8.28230560116912,19.976466829977,2035.64117932502,58.0543919124282,3409.97505766243,7.39317659837818,282.051316094888,0.138556499524347,0.0827136009282827,0.78592354934338,4.98389995200037E-06,2.13416169604046E-06,2.35848439957533E-06,77.3624647042687
18.83125,36.2419207381703,373.959286407957,49.2891619063343,0.423383247066332,14.5272168579601,3.92924000245783,3.19874159356417,295.180595118899,4288.15251755396,11260.9435897862,44246.9500184091,1603.24750751721,5831.90513669898,1.36000413064263,0.131803551075783,0.540378846701045,4.98389995200037E-06,2.13416169604046E-06,2.35848439957533E-06,77.3624647042687
20.08,87.6638369166382,-32.495692308614,13.1841885834753,nan,14.1447379014644,-36.3829696650006,nan,781.932289543092,11060.227292279,112.686327792066,-4099.86324571905,-76.0114507399538,-1663.40109589511,0.150394838364335,-0.405721117071889,nan,4.98389995200037E-06,2.13416169604046E-06,2.35848439957533E-06,77.3624647042687
